last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_double,b_triple,b_home_run,batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Moran, Colin,2019,27,466,129,85,30,1,13,.277,.261,.440,.315,.315,.308,.177,88.3,12.1,7.4,
Pederson, Joc,2019,27,450,112,57,16,3,36,.249,.256,.479,.362,.348,.345,.221,91.1,15.4,10.3,
Ray, Robbie,2019,28,55,4,4,0,0,0,.073,.087,.106,.063,.085,.087,.014,79.5,-13.9,0.0,
Realmuto, J.T.,2019,28,538,148,84,36,3,25,.275,.277,.472,.340,.341,.336,.192,90.3,14.3,8.7,
Renfroe, Hunter,2019,27,440,95,42,19,1,33,.216,.218,.450,.320,.310,.292,.230,89.9,18.9,12.0,
Rivera, Yadiel,2019,27,60,11,9,2,0,0,.183,.164,.213,.218,.208,.241,.046,89.3,1.2,0.0,
Rosario, Eddie,2019,28,562,155,94,28,1,32,.276,.267,.500,.329,.329,.295,.230,89.2,16.6,8.5,
Simmons, Andrelton,2019,30,398,105,79,19,0,7,.264,.236,.319,.290,.263,.283,.079,87.8,9.4,1.7,
Syndergaard, Noah,2019,27,65,6,3,1,0,2,.092,.093,.208,.144,.148,.133,.114,88.2,21.7,15.8,
Wilkerson, Stevie,2019,27,329,74,44,18,2,10,.225,.200,.315,.286,.253,.264,.112,86.3,10.9,3.6,
Yelich, Christian,2019,28,489,161,85,29,3,44,.329,.313,.621,.442,.420,.417,.307,93.2,11.2,15.8,
Merrifield, Whit,2019,30,681,206,139,41,10,16,.302,.287,.434,.340,.325,.335,.145,87.1,15.4,4.3,
Bogaerts, Xander,2019,27,614,190,105,52,0,33,.309,.278,.482,.390,.357,.359,.202,90.6,13,8.6,
Hernandez, Marco,2019,27,148,37,28,7,0,2,.250,.227,.282,.266,.236,.257,.052,87,6.1,1.9,
Alberto, Hanser,2019,27,524,160,125,21,2,12,.305,.290,.397,.318,.303,.314,.105,84.4,11.4,2.9,
Polanco, Jorge,2019,26,631,186,117,40,7,22,.295,.281,.470,.352,.344,.346,.188,88,18.9,6.7,
Sano, Miguel,2019,26,380,94,39,19,2,34,.247,.231,.541,.379,.361,.333,.309,94.4,15.6,21.2,
Herrera, Rosell,2019,27,105,21,13,6,0,2,.200,.212,.290,.264,.260,.299,.077,87.9,11.5,2.5,
Difo, Wilmer,2019,27,131,33,29,2,0,2,.252,.239,.309,.268,.261,.303,.067,83.9,10.1,0.0,
Calhoun, Kole,2019,32,552,128,65,29,1,33,.232,.246,.475,.330,.338,.337,.228,89.6,14.6,11.2,
deGrom, Jacob,2019,31,65,13,9,2,0,2,.200,.187,.272,.245,.222,.234,.081,85.3,-0.2,2.1,
Duvall, Adam,2019,31,120,32,17,4,1,10,.267,.210,.541,.360,.329,.264,.330,91.1,25.6,15.9,
Eaton, Adam,2019,31,566,158,111,25,7,15,.279,.278,.424,.342,.340,.364,.145,88.9,15.1,3.8,
Garcia, Greg,2019,30,311,77,56,13,4,4,.248,.226,.307,.319,.298,.346,.078,85.8,4.1,2.6,
Gosselin, Phil,2019,31,65,17,14,3,0,0,.262,.277,.437,.263,.320,.309,.153,88.6,14.7,6.1,
Palka, Daniel,2019,28,84,9,7,0,0,2,.107,.144,.223,.174,.205,.226,.078,87.4,15,6.1,
Schebler, Scott,2019,29,81,10,6,2,0,2,.123,.153,.249,.223,.243,.278,.095,86.5,6.6,3.7,
Kiermaier, Kevin,2019,29,447,102,61,20,7,14,.228,.244,.391,.284,.291,.293,.144,89.2,6.7,5.5,
Knapp, Andrew,2019,28,136,29,18,9,0,2,.213,.211,.363,.282,.292,.317,.150,89.2,16.1,9.1,
Riddle, JT,2019,28,132,25,13,6,0,6,.189,.194,.382,.250,.258,.235,.184,88.9,9.5,8.9,
Wallach, Chad,2019,28,48,12,8,3,0,1,.250,.275,.560,.309,.378,.355,.282,89.9,12.6,13.9,
Alfaro, Jorge,2019,26,431,113,80,14,1,18,.262,.247,.452,.312,.317,.299,.202,90.8,4.3,11.5,
Profar, Jurickson,2019,26,459,100,54,24,2,20,.218,.251,.427,.301,.323,.331,.174,86.7,14,6.5,
Baez, Javier,2019,27,531,149,78,38,4,29,.281,.266,.499,.347,.330,.302,.230,91.1,7.3,12.7,
Cave, Jake,2019,27,198,51,30,11,2,8,.258,.257,.480,.343,.356,.352,.219,90.5,6.6,12.5,
Gallagher, Cam,2019,27,126,30,20,7,0,3,.238,.226,.311,.294,.271,.301,.083,86.3,12.8,2.0,
Hedges, Austin,2019,27,312,55,35,9,0,11,.176,.198,.350,.242,.265,.272,.151,86.7,21.5,8.3,
Heineman, Scott,2019,27,75,16,8,6,0,2,.213,.224,.323,.295,.283,.315,.098,87.4,10.7,1.8,
Kramer, Kevin,2019,26,42,7,6,1,0,0,.167,.181,.319,.212,.257,.273,.134,86.2,20,7.4,
Lindor, Francisco,2019,26,598,170,96,40,2,32,.284,.274,.460,.349,.329,.328,.183,91,12.2,7.5,
Odor, Rougned,2019,25,522,107,46,30,1,30,.205,.227,.467,.302,.321,.303,.238,91.1,17.7,13.6,
Slater, Austin,2019,27,168,40,23,9,3,5,.238,.238,.443,.320,.330,.333,.204,88.6,3.1,10.1,
Smith Jr, Dwight,2019,27,357,86,54,16,3,13,.241,.242,.376,.299,.291,.299,.131,89.1,6.8,3.9,
Story, Trevor,2019,27,588,173,95,38,5,35,.294,.262,.460,.380,.337,.335,.197,91,17.1,8.6,
Swihart, Blake,2019,27,92,15,10,1,0,4,.163,.191,.307,.228,.242,.249,.115,85.7,11.4,5.4,
Vogelbach, Daniel,2019,27,462,96,49,17,0,30,.208,.226,.443,.333,.344,.357,.215,88.9,16.9,10.8,
