"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"23",570481,"Erik Gonzalez","23","100.0","0.273","0.000","0.273","0.273","0.239","0.222","0.252","6","22","82.0","-2.5","2092","88.4","88.40","0","23","0","0.0","6.11","99","149","107","143","307","316","287"
"23",621433,"Brett Phillips","23","100.0","0.286","0.190","0.238","0.476","0.306","0.188","0.189","6","21","80.3","9.2","2081","88.5","88.45","0","23","0","0.0","6.03","110","144","102","147","288","315","300"
"23",608700,"Kevin Plawecki","23","100.0","0.261","0.174","0.227","0.435","0.293","0.297","0.259","6","23","85.3","9.9","2216","88.2","88.44","0","23","0","0.2","6.29","109","150","121","145","295","321","287"
"23",592407,"Bryan Holaday","23","100.0","0.348","0.261","0.318","0.609","0.400","0.344","0.314","8","23","86.4","8.2","2220","91.1","90.77","0","23","0","-0.3","5.92","109","153","117","145","302","322","291"
"23",502117,"Kristopher Negron","23","100.0","0.348","0.000","0.348","0.348","0.304","0.302","0.258","8","23","84.4","6.2","2183","87.4","87.02","0","23","0","-0.4","5.91","110","153","112","149","304","319","290"
"23",571740,"Billy Hamilton","23","100.0","0.391","0.130","0.391","0.522","0.389","0.180","0.178","9","23","81.2","18.6","2198","92.5","92.47","0","23","0","0.0","6.18","95","143","93","142","275","305","284"
"22",506702,"Sandy Leon","22","100.0","0.143","0.143","0.100","0.286","0.178","0.278","0.270","3","21","86.4","22.0","2303","89.3","89.02","0","22","0","-0.3","5.99","113","153","122","150","284","318","292"
"22",572287,"Mike Zunino","22","100.0","0.364","0.409","0.263","0.773","0.471","0.547","0.427","8","22","88.5","17.2","2170","87.3","86.64","0","22","0","-0.7","5.85","108","153","124","146","300","320","285"
"22",546991,"Albert Almora Jr.","22","100.0","0.350","0.150","0.300","0.500","0.345","0.324","0.338","7","20","85.1","9.7","2126","87.2","87.00","0","22","0","-0.2","6.04","107","151","114","146","302","316","284"
"21",435062,"Howie Kendrick","21","100.0","0.571","0.524","0.526","1.095","0.689","0.641","0.495","12","21","92.5","8.7","2186","90.9","91.04","0","21","0","0.1","6.24","103","148","115","147","306","324","292"
"21",607345,"Kevan Smith","21","100.0","0.048","0.000","0.048","0.048","0.042","0.190","0.190","1","21","84.2","7.9","2289","90.8","90.33","0","21","0","-0.5","5.93","111","152","124","147","291","313","282"
"21",647351,"Abraham Toro","21","100.0","0.238","0.143","0.200","0.381","0.262","0.165","0.159","5","21","81.4","-1.4","2215","87.2","86.71","0","21","0","-0.5","5.96","115","151","115","144","290","328","293"
"21",488771,"Jason Castro","21","100.0","0.381","0.333","0.316","0.714","0.457","0.499","0.405","8","21","89.5","8.9","2196","90.3","90.43","0","21","0","0.1","6.17","114","151","125","153","296","323","299"
"21",660162,"Yoan Moncada","21","100.0","0.333","0.381","0.263","0.714","0.432","0.510","0.394","7","21","90.0","7.5","2130","88.5","88.31","0","21","0","-0.2","5.95","114","148","120","150","298","328","302"
"21",623520,"David Bote","21","100.0","0.476","0.143","0.476","0.619","0.468","0.465","0.491","10","21","91.8","4.4","2163","87.0","86.55","0","21","0","-0.4","5.89","100","152","115","145","301","320","292"
"21",593523,"Marco Hernandez","21","100.0","0.286","0.048","0.286","0.333","0.267","0.238","0.271","6","21","80.6","-3.9","2039","88.7","88.48","0","21","0","-0.2","5.97","111","148","109","150","280","316","301"
"20",641645,"Luis Guillorme","20","100.0","0.300","0.300","0.263","0.600","0.372","0.371","0.319","6","20","86.0","16.9","2123","92.5","92.35","0","20","0","-0.1","6.13","112","147","111","149","281","318","298"
"20",656308,"Michael Chavis","20","100.0","0.250","0.150","0.211","0.400","0.275","0.360","0.318","5","20","88.4","10.7","2205","90.3","90.24","0","20","0","-0.1","6.13","110","153","123","146","290","329","298"
"20",657041,"Lane Thomas","20","100.0","0.400","0.550","0.294","0.950","0.552","0.481","0.439","8","20","96.1","14.2","2234","89.9","89.86","0","20","0","0.0","6.12","111","151","116","145","305","324","295"
"20",467055,"Pablo Sandoval","20","100.0","0.400","0.150","0.400","0.550","0.404","0.459","0.449","8","20","87.7","7.0","2167","88.7","88.56","0","20","0","-0.1","5.88","118","160","123","152","302","337","310"
"20",664913,"Seth Brown","20","100.0","0.550","0.150","0.550","0.700","0.535","0.354","0.369","11","20","88.9","12.0","2100","88.7","88.61","0","20","0","-0.1","6.06","117","146","126","139","297","325","307"
"20",446308,"Matt Wieters","20","100.0","0.250","0.150","0.211","0.400","0.275","0.358","0.321","5","20","87.8","9.5","2531","88.4","87.71","0","20","0","-0.7","5.79","107","163","124","151","290","318","299"
"19",502273,"Mike Freeman","19","100.0","0.500","0.278","0.444","0.778","0.511","0.287","0.277","9","18","79.9","2.5","2096","88.2","87.91","0","19","0","-0.3","5.94","113","147","113","150","281","311","297"
"19",622168,"Yairo Munoz","19","100.0","0.444","0.000","0.421","0.444","0.368","0.317","0.318","8","18","85.0","8.0","2222","90.5","90.71","0","19","0","0.2","6.22","105","149","111","146","304","320","289"
"18",666971,"Lourdes Gurriel Jr.","18","100.0","0.294","0.235","0.250","0.529","0.344","0.317","0.284","5","17","89.4","13.7","2340","84.6","83.62","0","18","0","-1.0","5.76","110","156","121","148","303","331","296"
"18",664926,"Nick Dini","18","100.0","0.235","0.235","0.188","0.471","0.293","0.288","0.273","4","17","86.2","19.3","2361","88.8","88.71","0","18","0","-0.1","6.08","104","150","117","147","297","318","283"
"18",641584,"Jake Fraley","18","100.0","0.278","0.111","0.278","0.389","0.283","0.277","0.269","5","18","84.5","26.4","2446","89.4","88.93","0","18","0","-0.5","5.95","113","144","107","151","278","312","297"
"17",572073,"Joey Rickard","17","100.0","0.412","0.235","0.375","0.647","0.447","0.419","0.372","7","17","88.5","8.5","2113","85.2","84.72","0","17","0","-0.5","5.85","107","151","112","146","302","324","295"
"17",488671,"Alex Avila","17","100.0","0.353","0.529","0.214","0.882","0.506","0.615","0.423","6","17","93.6","6.0","2227","90.6","90.19","0","17","0","-0.4","5.93","116","164","135","150","297","328","311"
"17",650489,"Willi Castro","17","100.0","0.438","0.125","0.412","0.563","0.403","0.347","0.329","7","16","84.0","24.6","2078","86.8","86.87","0","17","0","0.1","6.15","109","152","107","149","297","320","291"
"16",500743,"Miguel Rojas","16","100.0","0.313","0.188","0.313","0.500","0.339","0.229","0.228","5","16","85.5","-1.2","2214","91.7","91.42","0","16","0","-0.3","6.15","109","154","113","148","294","314","280"
"16",628338,"Guillermo Heredia","16","100.0","0.250","0.313","0.200","0.563","0.334","0.322","0.306","4","16","94.7","18.4","2086","87.8","86.80","0","16","0","-1.0","5.76","109","151","111","147","304","319","278"
"15",542979,"Keon Broxton","15","100.0","0.231","0.231","0.143","0.462","0.246","0.344","0.319","3","13","84.2","4.6","2289","88.6","88.57","0","15","0","0.0","6.24","99","149","110","144","303","320","286"
"15",592444,"JaCoby Jones","15","100.0","0.467","0.467","0.429","0.933","0.576","0.352","0.347","7","15","92.7","11.9","2190","89.2","88.97","0","15","0","-0.2","5.98","102","152","107","147","294","323","291"
"15",621563,"Joey Wendle","15","100.0","0.286","0.429","0.214","0.714","0.376","0.308","0.300","4","14","91.5","15.3","2205","88.8","88.67","0","15","0","-0.1","6.20","114","145","108","149","284","312","295"
