"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1222",571745,"Mitch Haniger","1222","100.0","0.220","0.244","0.257","0.463","0.330","0.327","0.225","54","246","88.4","18.7","2258","88.3","87.86","138","518","697","-0.4","5.96","107","151","118","145","297","317","292"
"707",621573,"Austin Dean","707","100.0","0.225","0.180","0.270","0.404","0.280","0.299","0.256","40","178","88.3","9.1","2235","88.7","88.46","77","352","355","-0.2","6.12","110","152","118","148","307","316","287"
"550",669256,"Nick Solak","550","100.0","0.293","0.198","0.354","0.491","0.379","0.343","0.258","34","116","88.3","6.3","2266","88.9","88.58","52","232","314","-0.3","6.04","108","152","119","147","305","321","288"
"1765",641313,"Tim Anderson","1765","100.0","0.335","0.173","0.399","0.508","0.367","0.328","0.294","167","498","88.3","8.7","2274","88.2","87.84","253","1033","728","-0.4","6.01","106","150","112","146","301","320","287"
"2045",572821,"Brian Dozier","2045","100.0","0.238","0.192","0.271","0.430","0.333","0.331","0.240","99","416","88.3","19.0","2260","88.9","88.55","194","799","1237","-0.3","6.01","106","151","115","145","302","323","299"
"1567",575929,"Willson Contreras","1567","100.0","0.272","0.261","0.314","0.533","0.373","0.342","0.250","98","360","88.3","7.3","2259","89.2","88.96","259","782","773","-0.2","6.04","108","151","114","146","302","325","296"
"2085",405395,"Albert Pujols","2085","100.0","0.244","0.185","0.238","0.430","0.312","0.319","0.253","120","491","88.3","12.4","2282","88.2","87.67","169","928","1154","-0.5","5.93","106","152","122","146","302","323","296"
"1917",547379,"Roberto Perez","1917","100.0","0.239","0.213","0.285","0.452","0.330","0.323","0.227","93","389","88.3","4.3","2241","88.3","88.01","229","757","1150","-0.3","5.99","107","149","116","146","296","319","292"
"903",649557,"Aledmys Diaz","903","100.0","0.271","0.195","0.268","0.467","0.349","0.339","0.268","57","210","88.3","12.2","2228","87.7","87.28","80","407","490","-0.4","6.01","107","151","118","145","294","326","292"
"871",519222,"Austin Romine","871","100.0","0.281","0.158","0.327","0.439","0.319","0.305","0.264","64","228","88.2","10.4","2266","88.1","87.67","112","494","376","-0.4","5.98","108","151","119","148","304","321","282"
"2528",462101,"Elvis Andrus","2528","100.0","0.275","0.118","0.305","0.393","0.303","0.307","0.271","165","600","88.2","7.1","2282","88.4","87.96","230","1172","1350","-0.4","5.98","105","150","113","146","301","319","286"
"1378",544369,"Didi Gregorius","1378","100.0","0.238","0.204","0.237","0.441","0.302","0.293","0.247","77","324","88.2","17.2","2211","89.0","88.67","173","762","608","-0.3","6.02","116","155","117","153","291","324","296"
"2289",520471,"Freddy Galvis","2289","100.0","0.260","0.178","0.312","0.438","0.311","0.279","0.237","145","557","88.2","14.2","2205","88.6","88.25","354","1235","1042","-0.3","6.01","108","148","105","149","289","321","296"
"1808",592567,"Colin Moran","1808","100.0","0.277","0.152","0.341","0.429","0.318","0.316","0.262","129","466","88.2","12.3","2253","88.8","88.51","240","968","835","-0.3","5.98","117","155","117","151","296","322","301"
"1512",592325,"Ben Gamel","1512","100.0","0.248","0.125","0.347","0.373","0.311","0.301","0.235","77","311","88.2","10.1","2292","89.3","89.05","140","606","902","-0.3","6.04","116","147","110","150","292","318","300"
"1973",664068,"Scott Kingery","1973","100.0","0.258","0.216","0.337","0.474","0.333","0.314","0.247","118","458","88.2","17.5","2301","89.1","88.89","317","995","970","-0.2","6.07","109","151","110","146","301","321","290"
"1066",431145,"Russell Martin","1066","100.0","0.220","0.110","0.276","0.330","0.297","0.306","0.223","46","209","88.2","10.6","2275","88.3","88.01","116","430","628","-0.3","5.99","110","151","117","147","303","320","296"
"2350",460086,"Alex Gordon","2350","100.0","0.266","0.129","0.301","0.396","0.322","0.332","0.261","148","556","88.2","9.0","2222","88.4","88.05","247","1125","1199","-0.3","5.97","115","154","114","150","294","323","305"
"1605",621311,"David Dahl","1605","100.0","0.302","0.222","0.386","0.524","0.368","0.340","0.267","113","374","88.2","10.8","2245","88.6","88.45","258","836","765","-0.2","5.95","117","152","119","150","301","330","310"
"1991",453943,"Todd Frazier","1991","100.0","0.251","0.192","0.284","0.443","0.332","0.315","0.240","112","447","88.2","17.3","2272","88.2","87.84","218","852","1125","-0.4","6.00","107","153","119","146","302","325","298"
"1086",607043,"Brandon Nimmo","1086","100.0","0.221","0.186","0.293","0.407","0.343","0.330","0.219","44","199","88.1","11.4","2228","89.4","88.99","121","438","638","-0.4","6.02","115","153","111","150","292","320","303"
"1571",434158,"Curtis Granderson","1571","100.0","0.183","0.174","0.220","0.356","0.278","0.305","0.216","58","317","88.1","18.7","2239","88.7","88.30","154","622","943","-0.4","6.01","119","164","120","153","296","320","299"
"767",642086,"Dominic Smith","767","100.0","0.282","0.243","0.320","0.525","0.373","0.327","0.246","50","177","88.0","14.8","2225","89.1","88.77","97","372","390","-0.3","6.03","117","157","120","153","294","323","305"
"1619",600869,"Jeimer Candelario","1619","100.0","0.203","0.134","0.262","0.337","0.286","0.302","0.229","68","335","88.0","15.6","2196","88.4","87.98","182","706","906","-0.4","5.98","112","151","121","148","292","323","294"
"533",546318,"Odubel Herrera","533","100.0","0.222","0.119","0.290","0.341","0.275","0.277","0.227","28","126","88.0","11.0","2188","88.8","88.34","79","276","255","-0.5","6.01","116","149","104","151","290","320","301"
"2232",516416,"Jean Segura","2232","100.0","0.280","0.141","0.302","0.420","0.318","0.314","0.278","161","576","88.0","7.0","2265","88.8","88.51","154","1050","1164","-0.3","6.06","109","151","107","147","303","320","287"
"1610",609275,"Adalberto Mondesi","1610","100.0","0.263","0.161","0.357","0.424","0.301","0.282","0.237","109","415","87.9","9.6","2217","88.1","87.74","351","924","674","-0.4","5.97","103","145","100","146","295","321","298"
"1359",466320,"Melky Cabrera","1359","100.0","0.280","0.119","0.300","0.399","0.304","0.294","0.280","106","378","87.9","8.9","2220","88.6","88.33","110","708","648","-0.3","6.00","115","152","114","149","295","320","298"
"1370",475174,"Yonder Alonso","1370","100.0","0.199","0.147","0.224","0.346","0.280","0.306","0.232","58","292","87.9","13.9","2233","88.6","88.22","161","646","720","-0.4","5.99","116","165","129","149","296","325","302"
"932",541650,"Hernan Perez","932","100.0","0.228","0.151","0.283","0.379","0.274","0.257","0.218","53","232","87.9","9.0","2276","88.3","87.94","131","488","438","-0.4","5.97","107","151","112","146","303","321","292"
"896",606157,"Aristides Aquino","896","100.0","0.259","0.317","0.266","0.576","0.366","0.334","0.250","53","205","87.9","18.2","2258","88.5","88.22","177","499","395","-0.3","6.00","109","151","119","146","308","327","298"
"1594",547004,"Rio Ruiz","1594","100.0","0.232","0.143","0.272","0.376","0.297","0.293","0.235","86","370","87.9","10.7","2228","88.3","87.92","181","744","850","-0.4","5.97","116","155","119","151","290","321","299"
"1209",600303,"Tommy La Stella","1209","100.0","0.295","0.192","0.282","0.486","0.355","0.350","0.296","86","292","87.8","13.2","2238","88.6","88.07","60","510","693","-0.5","5.91","113","150","111","150","291","318","301"
"902",642336,"Francisco Mejia","902","100.0","0.265","0.173","0.319","0.438","0.321","0.285","0.229","60","226","87.8","19.1","2288","87.9","87.49","131","509","387","-0.4","5.98","113","153","116","150","297","321","297"
"596",456488,"Eduardo Nunez","596","100.0","0.228","0.078","0.257","0.305","0.236","0.259","0.254","38","167","87.8","6.4","2287","88.3","87.78","54","316","276","-0.5","5.94","106","148","111","146","292","321","290"
"2691",500871,"Eduardo Escobar","2691","100.0","0.269","0.242","0.283","0.511","0.346","0.327","0.258","171","636","87.8","18.3","2273","89.1","88.74","351","1414","1272","-0.4","5.98","111","152","117","149","299","326","300"
"503",592407,"Bryan Holaday","503","100.0","0.278","0.157","0.308","0.435","0.330","0.282","0.243","32","115","87.8","10.7","2256","88.8","88.50","45","223","275","-0.3","6.06","110","152","115","146","301","317","287"
